from_id,property10,to_id
320,last,12590
320,last,12591
320,last,12622
322,last,12561
325,last,12583
326,last,12629
326,last,12569
326,last,12576
326,last,12583
327,last,12561
327,last,12579
328,last,12599
332,last,12568
332,last,12569
332,last,12573
333,last,12608
334,last,12621
335,last,12570
336,last,12555
336,last,12578
337,last,12587
337,last,12606
337,last,12599
338,last,12575
339,last,12575
339,last,12555
340,last,12570
340,last,12579
340,last,12555
341,last,12590
341,last,12613
343,last,12583
346,last,12599
348,last,12575
350,last,12583
352,last,12569
352,last,12575
352,last,12564
352,last,12558
352,last,12561
352,last,12621
353,last,12618
354,last,12586
356,last,12603
356,last,12630
356,last,12581
356,last,12601
356,last,12621
358,last,12573
358,last,12560
358,last,12579
359,last,12570
361,last,12555
362,last,12608
362,last,12583
363,last,12555
365,last,12584
365,last,12597
365,last,12570
366,last,12581
367,last,12569
367,last,12607
369,last,12600
370,last,12584
371,last,12555
371,last,12561
371,last,12601
372,last,12569
372,last,12574
372,last,12583
372,last,12570
372,last,12554
374,last,12561
374,last,12566
374,last,12558
374,last,12556
374,last,12555
378,last,12575
378,last,12600
378,last,12558
378,last,12569
378,last,12583
378,last,12570
379,last,12575
379,last,12600
379,last,12558
379,last,12569
379,last,12583
379,last,12570
380,last,12569
380,last,12583
384,last,12576
384,last,12599
384,last,12583
385,last,12599
385,last,12583
386,last,12572
386,last,12556
387,last,12631
387,last,12632
388,last,12583
388,last,12555
388,last,12556
388,last,12561
390,last,12610
390,last,12554
390,last,12581
392,last,12569
392,last,12598
392,last,12555
392,last,12554
393,last,12583
395,last,12619
396,last,12586
396,last,12558
396,last,12555
397,last,12608
398,last,12610
398,last,12570
398,last,12599
398,last,12558
399,last,12558
399,last,12590
399,last,12591
399,last,12586
400,last,12603
400,last,12573
401,last,12585
401,last,12570
401,last,12620
401,last,12569
402,last,12555
402,last,12581
402,last,12585
402,last,12618
403,last,12624
403,last,12573
403,last,12633
404,last,12555
404,last,12591
405,last,12573
405,last,12586
405,last,12583
405,last,12554
405,last,12555
405,last,12565
406,last,12560
406,last,12558
406,last,12556
409,last,12628
409,last,12561
409,last,12591
410,last,12584
410,last,12554
411,last,12584
411,last,12634
413,last,12586
413,last,12608
413,last,12554
415,last,12583
416,last,12595
416,last,12610
416,last,12583
416,last,12573
417,last,12570
417,last,12573
419,last,12576
419,last,12634
419,last,12554
420,last,12575
420,last,12555
421,last,12606
422,last,12573
422,last,12569
425,last,12603
426,last,12583
426,last,12576
428,last,12569
429,last,12566
429,last,12558
430,last,12610
430,last,12581
430,last,12561
430,last,12573
430,last,12591
432,last,12621
433,last,12576
433,last,12608
433,last,12555
434,last,12586
437,last,12578
437,last,12610
437,last,12575
437,last,12558
438,last,12569
439,last,12567
439,last,12608
442,last,12561
442,last,12612
443,last,12569
444,last,12585
444,last,12591
444,last,12569
444,last,12631
445,last,12599
445,last,12575
445,last,12610
445,last,12573
445,last,12586
445,last,12555
446,last,12555
446,last,12578
447,last,12602
448,last,12583
449,last,12572
450,last,12576
451,last,12567
451,last,12570
451,last,12575
453,last,12618
455,last,12572
456,last,12560
457,last,12603
457,last,12583
457,last,12610
457,last,12564
457,last,12591
458,last,12622
458,last,12610
458,last,12573
458,last,12555
458,last,12569
459,last,12555
459,last,12587
459,last,12567
459,last,12584
459,last,12575
459,last,12579
459,last,12570
459,last,12573
459,last,12586
459,last,12558
460,last,12558
461,last,12567
461,last,12558
462,last,12589
462,last,12628
462,last,12555
462,last,12574
462,last,12602
462,last,12590
463,last,12583
463,last,12622
463,last,12569
464,last,12589
464,last,12628
464,last,12555
464,last,12574
464,last,12602
464,last,12590
465,last,12606
465,last,12583
465,last,12561
465,last,12607
465,last,12603
465,last,12602
465,last,12570
465,last,12573
466,last,12558
467,last,12635
467,last,12554
470,last,12561
471,last,12554
472,last,12590
472,last,12634
472,last,12569
472,last,12636
473,last,12591
475,last,12581
476,last,12561
477,last,12619
478,last,12576
478,last,12555
478,last,12583
479,last,12569
479,last,12555
479,last,12581
479,last,12578
479,last,12636
479,last,12575
480,last,12637
482,last,12583
482,last,12569
482,last,12572
484,last,12606
484,last,12627
484,last,12569
484,last,12603
484,last,12573
485,last,12603
485,last,12610
485,last,12607
485,last,12622
486,last,12606
486,last,12585
486,last,12603
486,last,12605
486,last,12583
486,last,12581
486,last,12597
487,last,12555
488,last,12570
491,last,12587
491,last,12567
491,last,12619
491,last,12585
491,last,12555
491,last,12558
492,last,12585
492,last,12622
493,last,12561
493,last,12638
493,last,12555
494,last,12575
494,last,12584
495,last,12603
495,last,12610
496,last,12554
496,last,12571
496,last,12570
497,last,12599
497,last,12568
497,last,12586
497,last,12576
497,last,12558
497,last,12624
498,last,12600
498,last,12561
499,last,12610
499,last,12558
500,last,12555
500,last,12558
500,last,12557
501,last,12554
502,last,12603
502,last,12610
502,last,12561
502,last,12558
502,last,12616
502,last,12556
503,last,12590
503,last,12610
504,last,12561
504,last,12566
514,last,12584
519,last,12555
521,last,12569
533,last,12574
539,last,12570
540,last,12573
542,last,12568
543,last,12576
544,last,12586
544,last,12600
545,last,12555
547,last,12628
547,last,12569
548,last,12578
548,last,12573
549,last,12574
549,last,12555
549,last,12583
550,last,12570
551,last,12569
551,last,12621
557,last,12560
557,last,12572
559,last,12567
560,last,12555
561,last,12561
561,last,12556
562,last,12555
562,last,12564
563,last,12561
563,last,12574
564,last,12569
566,last,12568
566,last,12587
566,last,12562
566,last,12583
566,last,12570
566,last,12555
567,last,12599
567,last,12555
567,last,12571
568,last,12606
568,last,12581
569,last,12558
569,last,12575
571,last,12583
575,last,12561
575,last,12558
575,last,12555
575,last,12557
577,last,12558
579,last,12558
580,last,12555
581,last,12561
584,last,12587
584,last,12572
584,last,12639
585,last,12608
585,last,12622
587,last,12640
588,last,12606
592,last,12641
592,last,12586
592,last,12555
593,last,12576
593,last,12574
594,last,12569
597,last,12569
597,last,12555
597,last,12628
598,last,12557
598,last,12599
599,last,12564
599,last,12607
601,last,12579
601,last,12556
605,last,12555
607,last,12583
612,last,12554
612,last,12569
615,last,12555
615,last,12630
618,last,12586
618,last,12587
618,last,12561
618,last,12569
622,last,12626
623,last,12579
623,last,12581
624,last,12558
627,last,12555
628,last,12560
630,last,12558
630,last,12576
631,last,12570
631,last,12554
632,last,12598
633,last,12558
633,last,12575
634,last,12555
637,last,12555
638,last,12619
639,last,12626
639,last,12569
639,last,12555
640,last,12558
640,last,12622
641,last,12590
641,last,12574
642,last,12575
642,last,12585
644,last,12586
644,last,12600
644,last,12591
645,last,12603
647,last,12576
648,last,12583
648,last,12558
648,last,12556
648,last,12581
650,last,12632
650,last,12555
651,last,12569
652,last,12623
652,last,12558
652,last,12575
652,last,12555
653,last,12570
653,last,12569
655,last,12583
655,last,12561
659,last,12567
659,last,12603
659,last,12564
659,last,12581
660,last,12555
661,last,12561
661,last,12608
661,last,12570
661,last,12610
663,last,12575
664,last,12554
665,last,12555
665,last,12581
668,last,12556
668,last,12561
669,last,12555
669,last,12558
670,last,12579
671,last,12590
673,last,12576
674,last,12571
674,last,12579
674,last,12587
674,last,12610
674,last,12630
675,last,12568
675,last,12583
675,last,12587
675,last,12569
675,last,12619
675,last,12584
675,last,12608
676,last,12560
677,last,12586
677,last,12556
678,last,12568
678,last,12556
680,last,12555
681,last,12570
681,last,12555
683,last,12601
687,last,12606
689,last,12618
689,last,12642
690,last,12584
690,last,12558
690,last,12555
690,last,12556
690,last,12569
691,last,12573
691,last,12583
691,last,12569
692,last,12554
692,last,12570
692,last,12564
695,last,12583
695,last,12558
696,last,12577
698,last,12575
698,last,12569
699,last,12607
701,last,12585
701,last,12591
701,last,12583
701,last,12584
703,last,12569
703,last,12621
704,last,12569
704,last,12555
705,last,12558
705,last,12555
706,last,12555
707,last,12555
707,last,12576
707,last,12583
708,last,12568
708,last,12561
708,last,12556
708,last,12569
711,last,12605
711,last,12556
711,last,12565
711,last,12555
711,last,12561
714,last,12570
715,last,12603
715,last,12573
715,last,12568
715,last,12570
716,last,12640
718,last,12569
719,last,12561
721,last,12573
721,last,12586
722,last,12558
723,last,12559
723,last,12568
723,last,12631
723,last,12608
723,last,12622
724,last,12561
725,last,12606
725,last,12568
725,last,12558
726,last,12579
726,last,12555
726,last,12607
726,last,12564
726,last,12612
728,last,12581
729,last,12603
729,last,12573
729,last,12575
729,last,12555
729,last,12591
729,last,12630
730,last,12585
731,last,12561
731,last,12565
731,last,12619
731,last,12558
733,last,12575
733,last,12630
733,last,12576
734,last,12640
734,last,12612
735,last,12555
736,last,12558
737,last,12575
737,last,12576
737,last,12569
737,last,12578
739,last,12607
740,last,12590
741,last,12556
742,last,12584
742,last,12570
742,last,12554
743,last,12568
744,last,12573
744,last,12630
744,last,12576
744,last,12569
744,last,12597
744,last,12555
745,last,12603
745,last,12561
745,last,12618
745,last,12608
745,last,12555
747,last,12585
748,last,12579
749,last,12573
754,last,12586
754,last,12591
754,last,12599
754,last,12581
754,last,12573
756,last,12605
757,last,12622
757,last,12556
757,last,12558
758,last,12561
758,last,12555
758,last,12575
759,last,12569
759,last,12581
759,last,12561
761,last,12572
763,last,12585
764,last,12578
764,last,12581
764,last,12574
768,last,12581
769,last,12632
769,last,12575
771,last,12560
771,last,12555
771,last,12570
771,last,12581
771,last,12561
772,last,12565
773,last,12573
773,last,12581
773,last,12565
773,last,12555
